date,symbol,open,high,low,close,volume,values
2022-11-23,2330,494.50,496.00,488.50,492.00,34752559.00,17111333375.00
2022-11-24,2330,494.00,496.00,492.00,496.00,28477359.00,14073196704.00
2022-11-25,2330,494.00,498.00,494.00,498.00,41461805.00,20594790238.00
2022-11-28,2330,486.00,490.00,480.50,480.50,40815045.00,19790586320.00
2022-11-29,2330,473.50,488.00,473.00,487.00,40266315.00,19374604221.00
2022-11-30,2330,483.00,490.00,482.50,490.00,60728041.00,29643130386.00
2022-12-01,2330,506.00,508.00,498.50,498.50,43684491.00,21976936461.00
2022-12-02,2330,490.00,497.00,490.00,492.50,29909021.00,14745810388.00
2022-12-05,2330,491.50,497.50,489.00,489.00,33048153.00,16272219716.00
2022-12-06,2330,488.00,489.00,478.00,478.00,44964237.00,21703863181.00
2022-12-07,2330,477.00,485.50,475.00,475.00,39978821.00,19128832587.00
2022-12-08,2330,475.00,475.00,467.00,471.50,28348573.00,13366736635.00
2022-12-09,2330,478.00,484.50,476.00,481.50,28903860.00,13881674073.00
2022-12-12,2330,476.50,478.00,473.50,475.00,24064002.00,11435789974.00
2022-12-13,2330,473.00,476.00,471.00,471.50,36028109.00,17034191389.00
2022-12-14,2330,472.00,480.50,472.00,480.50,35263781.00,16860500181.00
2022-12-15,2330,476.00,481.50,474.50,480.50,26001756.00,12446105928.00
2022-12-16,2330,466.50,471.00,465.50,471.00,51707693.00,24262026661.00
2022-12-19,2330,466.50,469.50,465.00,466.50,24231653.00,11320207884.00
2022-12-20,2330,465.00,467.00,455.00,457.50,33181363.00,15291302176.00
2022-12-21,2330,460.00,463.00,457.00,459.00,40831313.00,18763874901.00
2022-12-22,2330,466.50,469.00,464.00,468.00,14519582.00,6784664988.00
2022-12-23,2330,457.50,458.50,455.00,455.00,26724153.00,12200056423.00
2022-12-26,2330,454.00,457.00,453.50,456.50,9152790.00,4171194858.00
2022-12-27,2330,458.00,462.50,457.00,457.00,10486219.00,4820155221.00
2022-12-28,2330,451.00,452.00,446.00,451.00,34823492.00,15643266841.00
2022-12-29,2330,444.00,449.50,442.50,446.00,25596357.00,11400284554.00
2022-12-30,2330,455.00,456.50,448.50,448.50,22297604.00,10079102379.00
2023-01-03,2330,446.00,453.50,443.00,453.00,15311364.00,6871973708.00
2023-01-04,2330,449.50,455.00,448.50,449.50,20626874.00,9310050329.00
2023-01-05,2330,459.00,459.50,455.00,458.50,23972099.00,10972616269.00
2023-01-06,2330,455.00,459.50,455.00,458.50,21313593.00,9745142549.00
2023-01-09,2330,468.00,481.00,467.50,481.00,49186355.00,23352375299.00
2023-01-10,2330,486.00,487.00,483.00,486.00,34785370.00,16867391241.00
2023-01-11,2330,487.00,488.00,482.00,484.50,21749124.00,10531314878.00
2023-01-12,2330,487.50,488.00,484.00,486.50,22416984.00,10901640739.00
2023-01-13,2330,507.00,509.00,499.00,500.00,81848755.00,41113175651.00
2023-01-16,2330,506.00,508.00,503.00,505.00,38781925.00,19573968332.00
2023-01-17,2330,504.00,504.00,499.50,503.00,29443522.00,14784661794.00
2023-01-30,2330,542.00,543.00,534.00,543.00,148413161.00,80057158264.00
2023-01-31,2330,537.00,538.00,521.00,522.00,79212272.00,41736937234.00
2023-02-01,2330,532.00,533.00,522.00,530.00,42539626.00,22450948467.00
2023-02-02,2330,538.00,542.00,537.00,540.00,46523592.00,25091483557.00
2023-02-03,2330,540.00,542.00,536.00,542.00,34156234.00,18439613447.00
2023-02-06,2330,532.00,533.00,526.00,526.00,32208918.00,17041821849.00
2023-02-07,2330,524.00,528.00,522.00,523.00,24362116.00,12767910080.00
